indice,nivel_territorial,unidade_de_medida,valor,regiao,variavel,periodo,categorias,tabela
33,Brasil,%,"56,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2013,De 1 mês a menos de 1 ano,tabela_1616_var_4110
34,Brasil,%,"14,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2013,De 1 ano a menos de 2 anos,tabela_1616_var_4110
35,Brasil,%,"17,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2013,2 anos ou mais,tabela_1616_var_4110
36,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2013,Total,tabela_1616_var_4110
37,Brasil,%,"13,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2013,Menos de 1 mês,tabela_1616_var_4110
38,Brasil,%,"52,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2013,De 1 mês a menos de 1 ano,tabela_1616_var_4110
39,Brasil,%,"16,20",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2013,De 1 ano a menos de 2 anos,tabela_1616_var_4110
40,Brasil,%,"18,30",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2013,2 anos ou mais,tabela_1616_var_4110
41,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2014,Total,tabela_1616_var_4110
42,Brasil,%,"14,40",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2014,Menos de 1 mês,tabela_1616_var_4110
43,Brasil,%,"52,70",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2014,De 1 mês a menos de 1 ano,tabela_1616_var_4110
44,Brasil,%,"14,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2014,De 1 ano a menos de 2 anos,tabela_1616_var_4110
45,Brasil,%,"18,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2014,2 anos ou mais,tabela_1616_var_4110
46,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2014,Total,tabela_1616_var_4110
47,Brasil,%,"12,60",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2014,Menos de 1 mês,tabela_1616_var_4110
48,Brasil,%,"54,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2014,De 1 mês a menos de 1 ano,tabela_1616_var_4110
49,Brasil,%,"15,90",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2014,De 1 ano a menos de 2 anos,tabela_1616_var_4110
50,Brasil,%,"17,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2014,2 anos ou mais,tabela_1616_var_4110
51,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2014,Total,tabela_1616_var_4110
52,Brasil,%,"11,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2014,Menos de 1 mês,tabela_1616_var_4110
53,Brasil,%,"55,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2014,De 1 mês a menos de 1 ano,tabela_1616_var_4110
54,Brasil,%,"16,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2014,De 1 ano a menos de 2 anos,tabela_1616_var_4110
55,Brasil,%,"17,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2014,2 anos ou mais,tabela_1616_var_4110
56,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2014,Total,tabela_1616_var_4110
57,Brasil,%,"11,90",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2014,Menos de 1 mês,tabela_1616_var_4110
58,Brasil,%,"54,60",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2014,De 1 mês a menos de 1 ano,tabela_1616_var_4110
59,Brasil,%,"16,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2014,De 1 ano a menos de 2 anos,tabela_1616_var_4110
60,Brasil,%,"17,40",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2014,2 anos ou mais,tabela_1616_var_4110
61,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2015,Total,tabela_1616_var_4110
62,Brasil,%,"12,90",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2015,Menos de 1 mês,tabela_1616_var_4110
63,Brasil,%,"54,30",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2015,De 1 mês a menos de 1 ano,tabela_1616_var_4110
64,Brasil,%,"15,60",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2015,De 1 ano a menos de 2 anos,tabela_1616_var_4110
65,Brasil,%,"17,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2015,2 anos ou mais,tabela_1616_var_4110
66,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2015,Total,tabela_1616_var_4110
67,Brasil,%,"10,90",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2015,Menos de 1 mês,tabela_1616_var_4110
68,Brasil,%,"55,40",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2015,De 1 mês a menos de 1 ano,tabela_1616_var_4110
69,Brasil,%,"16,70",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2015,De 1 ano a menos de 2 anos,tabela_1616_var_4110
70,Brasil,%,"17,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2015,2 anos ou mais,tabela_1616_var_4110
71,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2015,Total,tabela_1616_var_4110
72,Brasil,%,"10,60",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2015,Menos de 1 mês,tabela_1616_var_4110
73,Brasil,%,"55,30",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2015,De 1 mês a menos de 1 ano,tabela_1616_var_4110
74,Brasil,%,"17,20",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2015,De 1 ano a menos de 2 anos,tabela_1616_var_4110
75,Brasil,%,"16,90",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2015,2 anos ou mais,tabela_1616_var_4110
76,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2015,Total,tabela_1616_var_4110
77,Brasil,%,"10,60",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2015,Menos de 1 mês,tabela_1616_var_4110
78,Brasil,%,"52,70",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2015,De 1 mês a menos de 1 ano,tabela_1616_var_4110
79,Brasil,%,"18,70",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2015,De 1 ano a menos de 2 anos,tabela_1616_var_4110
80,Brasil,%,"18,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2015,2 anos ou mais,tabela_1616_var_4110
81,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2016,Total,tabela_1616_var_4110
82,Brasil,%,"11,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2016,Menos de 1 mês,tabela_1616_var_4110
83,Brasil,%,"52,40",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2016,De 1 mês a menos de 1 ano,tabela_1616_var_4110
84,Brasil,%,"18,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2016,De 1 ano a menos de 2 anos,tabela_1616_var_4110
85,Brasil,%,"18,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2016,2 anos ou mais,tabela_1616_var_4110
86,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2016,Total,tabela_1616_var_4110
87,Brasil,%,"9,20",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2016,Menos de 1 mês,tabela_1616_var_4110
88,Brasil,%,"52,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2016,De 1 mês a menos de 1 ano,tabela_1616_var_4110
89,Brasil,%,"18,30",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2016,De 1 ano a menos de 2 anos,tabela_1616_var_4110
90,Brasil,%,"20,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2016,2 anos ou mais,tabela_1616_var_4110
91,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2016,Total,tabela_1616_var_4110
92,Brasil,%,"9,70",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2016,Menos de 1 mês,tabela_1616_var_4110
93,Brasil,%,"52,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2016,De 1 mês a menos de 1 ano,tabela_1616_var_4110
94,Brasil,%,"18,40",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2016,De 1 ano a menos de 2 anos,tabela_1616_var_4110
95,Brasil,%,"19,80",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2016,2 anos ou mais,tabela_1616_var_4110
96,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2016,Total,tabela_1616_var_4110
97,Brasil,%,"10,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2016,Menos de 1 mês,tabela_1616_var_4110
98,Brasil,%,"51,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2016,De 1 mês a menos de 1 ano,tabela_1616_var_4110
99,Brasil,%,"18,70",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2016,De 1 ano a menos de 2 anos,tabela_1616_var_4110
100,Brasil,%,"19,70",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2016,2 anos ou mais,tabela_1616_var_4110
101,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2017,Total,tabela_1616_var_4110
102,Brasil,%,"12,40",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2017,Menos de 1 mês,tabela_1616_var_4110
103,Brasil,%,"49,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2017,De 1 mês a menos de 1 ano,tabela_1616_var_4110
104,Brasil,%,"18,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2017,De 1 ano a menos de 2 anos,tabela_1616_var_4110
105,Brasil,%,"20,20",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2017,2 anos ou mais,tabela_1616_var_4110
106,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2017,Total,tabela_1616_var_4110
107,Brasil,%,"10,80",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2017,Menos de 1 mês,tabela_1616_var_4110
108,Brasil,%,"50,20",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2017,De 1 mês a menos de 1 ano,tabela_1616_var_4110
109,Brasil,%,"17,60",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2017,De 1 ano a menos de 2 anos,tabela_1616_var_4110
110,Brasil,%,"21,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2017,2 anos ou mais,tabela_1616_var_4110
111,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2017,Total,tabela_1616_var_4110
112,Brasil,%,"11,70",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2017,Menos de 1 mês,tabela_1616_var_4110
113,Brasil,%,"48,70",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2017,De 1 mês a menos de 1 ano,tabela_1616_var_4110
114,Brasil,%,"17,80",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2017,De 1 ano a menos de 2 anos,tabela_1616_var_4110
115,Brasil,%,"21,80",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2017,2 anos ou mais,tabela_1616_var_4110
116,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2017,Total,tabela_1616_var_4110
117,Brasil,%,"12,40",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2017,Menos de 1 mês,tabela_1616_var_4110
118,Brasil,%,"47,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2017,De 1 mês a menos de 1 ano,tabela_1616_var_4110
119,Brasil,%,"18,20",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2017,De 1 ano a menos de 2 anos,tabela_1616_var_4110
120,Brasil,%,"22,40",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2017,2 anos ou mais,tabela_1616_var_4110
121,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2018,Total,tabela_1616_var_4110
122,Brasil,%,"14,70",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2018,Menos de 1 mês,tabela_1616_var_4110
123,Brasil,%,"46,80",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2018,De 1 mês a menos de 1 ano,tabela_1616_var_4110
124,Brasil,%,"16,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2018,De 1 ano a menos de 2 anos,tabela_1616_var_4110
125,Brasil,%,"22,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2018,2 anos ou mais,tabela_1616_var_4110
126,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2018,Total,tabela_1616_var_4110
127,Brasil,%,"14,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2018,Menos de 1 mês,tabela_1616_var_4110
128,Brasil,%,"47,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2018,De 1 mês a menos de 1 ano,tabela_1616_var_4110
129,Brasil,%,"14,30",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2018,De 1 ano a menos de 2 anos,tabela_1616_var_4110
130,Brasil,%,"24,20",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2018,2 anos ou mais,tabela_1616_var_4110
131,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2018,Total,tabela_1616_var_4110
132,Brasil,%,"13,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2018,Menos de 1 mês,tabela_1616_var_4110
133,Brasil,%,"46,40",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2018,De 1 mês a menos de 1 ano,tabela_1616_var_4110
134,Brasil,%,"14,80",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2018,De 1 ano a menos de 2 anos,tabela_1616_var_4110
135,Brasil,%,"25,40",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2018,2 anos ou mais,tabela_1616_var_4110
136,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2018,Total,tabela_1616_var_4110
137,Brasil,%,"14,90",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2018,Menos de 1 mês,tabela_1616_var_4110
138,Brasil,%,"44,30",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2018,De 1 mês a menos de 1 ano,tabela_1616_var_4110
139,Brasil,%,"15,40",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2018,De 1 ano a menos de 2 anos,tabela_1616_var_4110
140,Brasil,%,"25,40",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2018,2 anos ou mais,tabela_1616_var_4110
141,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2019,Total,tabela_1616_var_4110
142,Brasil,%,"15,90",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2019,Menos de 1 mês,tabela_1616_var_4110
143,Brasil,%,"45,50",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2019,De 1 mês a menos de 1 ano,tabela_1616_var_4110
144,Brasil,%,"14,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2019,De 1 ano a menos de 2 anos,tabela_1616_var_4110
145,Brasil,%,"24,60",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2019,2 anos ou mais,tabela_1616_var_4110
146,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2019,Total,tabela_1616_var_4110
147,Brasil,%,"14,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2019,Menos de 1 mês,tabela_1616_var_4110
148,Brasil,%,"45,80",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2019,De 1 mês a menos de 1 ano,tabela_1616_var_4110
149,Brasil,%,"14,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2019,De 1 ano a menos de 2 anos,tabela_1616_var_4110
150,Brasil,%,"26,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2019,2 anos ou mais,tabela_1616_var_4110
151,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2019,Total,tabela_1616_var_4110
