indice,nivel_territorial,unidade_de_medida,valor,regiao,variavel,periodo,categorias,tabela
34,Grande Região,%,"1,00",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,Contribuintes,tabela_4191_var_4091
35,Grande Região,%,"0,50",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,Total,tabela_4191_var_4091
36,Grande Região,%,"1,20",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,Contribuintes,tabela_4191_var_4091
37,Grande Região,%,"0,60",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,Total,tabela_4191_var_4091
38,Grande Região,%,"1,20",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,Contribuintes,tabela_4191_var_4091
39,Grande Região,%,"0,60",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2019,Total,tabela_4191_var_4091
40,Grande Região,%,"1,20",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2019,Contribuintes,tabela_4191_var_4091
41,Grande Região,%,"0,70",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2020,Total,tabela_4191_var_4091
42,Grande Região,%,"1,40",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2020,Contribuintes,tabela_4191_var_4091
43,Grande Região,%,"0,70",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2021,Total,tabela_4191_var_4091
44,Grande Região,%,"1,30",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2021,Contribuintes,tabela_4191_var_4091
45,Grande Região,%,"0,60",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2022,Total,tabela_4191_var_4091
46,Grande Região,%,"1,20",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2022,Contribuintes,tabela_4191_var_4091
47,Grande Região,%,"0,60",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2023,Total,tabela_4191_var_4091
48,Grande Região,%,"1,20",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2023,Contribuintes,tabela_4191_var_4091
49,Unidade da Federação,%,"1,60",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,Total,tabela_4191_var_4091
50,Unidade da Federação,%,"3,40",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,Contribuintes,tabela_4191_var_4091
51,Unidade da Federação,%,"1,50",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,Total,tabela_4191_var_4091
52,Unidade da Federação,%,"3,40",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,Contribuintes,tabela_4191_var_4091
53,Unidade da Federação,%,"1,80",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,Total,tabela_4191_var_4091
54,Unidade da Federação,%,"3,80",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,Contribuintes,tabela_4191_var_4091
55,Unidade da Federação,%,"1,70",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,Total,tabela_4191_var_4091
56,Unidade da Federação,%,"4,20",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,Contribuintes,tabela_4191_var_4091
57,Unidade da Federação,%,"1,60",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,Total,tabela_4191_var_4091
58,Unidade da Federação,%,"3,80",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,Contribuintes,tabela_4191_var_4091
59,Unidade da Federação,%,"1,80",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,Total,tabela_4191_var_4091
60,Unidade da Federação,%,"4,10",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,Contribuintes,tabela_4191_var_4091
61,Unidade da Federação,%,"1,90",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,Total,tabela_4191_var_4091
62,Unidade da Federação,%,"4,10",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,Contribuintes,tabela_4191_var_4091
63,Unidade da Federação,%,"2,00",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2019,Total,tabela_4191_var_4091
64,Unidade da Federação,%,"4,40",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2019,Contribuintes,tabela_4191_var_4091
65,Unidade da Federação,%,"2,40",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2020,Total,tabela_4191_var_4091
66,Unidade da Federação,%,"4,70",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2020,Contribuintes,tabela_4191_var_4091
67,Unidade da Federação,%,"2,50",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2021,Total,tabela_4191_var_4091
68,Unidade da Federação,%,"5,80",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2021,Contribuintes,tabela_4191_var_4091
69,Unidade da Federação,%,"2,20",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2022,Total,tabela_4191_var_4091
70,Unidade da Federação,%,"4,90",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2022,Contribuintes,tabela_4191_var_4091
71,Unidade da Federação,%,"2,40",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2023,Total,tabela_4191_var_4091
72,Unidade da Federação,%,"5,10",Piauí,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2023,Contribuintes,tabela_4191_var_4091
1,Brasil,%,"62,70",Brasil,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2012,,tabela_4359_var_4096
2,Brasil,%,"62,90",Brasil,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2013,,tabela_4359_var_4096
3,Brasil,%,"62,40",Brasil,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2014,,tabela_4359_var_4096
4,Brasil,%,"63,00",Brasil,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2015,,tabela_4359_var_4096
5,Brasil,%,"63,10",Brasil,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2016,,tabela_4359_var_4096
6,Brasil,%,"63,40",Brasil,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2017,,tabela_4359_var_4096
7,Brasil,%,"63,40",Brasil,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2018,,tabela_4359_var_4096
8,Brasil,%,"63,90",Brasil,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2019,,tabela_4359_var_4096
9,Brasil,%,"59,10",Brasil,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2020,,tabela_4359_var_4096
10,Brasil,%,"60,60",Brasil,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2021,,tabela_4359_var_4096
11,Brasil,%,"61,90",Brasil,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2022,,tabela_4359_var_4096
12,Brasil,%,"62,40",Brasil,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2023,,tabela_4359_var_4096
13,Grande Região,%,"57,70",Nordeste,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2012,,tabela_4359_var_4096
14,Grande Região,%,"57,50",Nordeste,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2013,,tabela_4359_var_4096
15,Grande Região,%,"58,20",Nordeste,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2014,,tabela_4359_var_4096
16,Grande Região,%,"58,50",Nordeste,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2015,,tabela_4359_var_4096
17,Grande Região,%,"56,70",Nordeste,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2016,,tabela_4359_var_4096
18,Grande Região,%,"56,10",Nordeste,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2017,,tabela_4359_var_4096
19,Grande Região,%,"56,00",Nordeste,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2018,,tabela_4359_var_4096
20,Grande Região,%,"56,00",Nordeste,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2019,,tabela_4359_var_4096
21,Grande Região,%,"50,70",Nordeste,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2020,,tabela_4359_var_4096
22,Grande Região,%,"53,10",Nordeste,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2021,,tabela_4359_var_4096
23,Grande Região,%,"54,40",Nordeste,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2022,,tabela_4359_var_4096
24,Grande Região,%,"54,40",Nordeste,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2023,,tabela_4359_var_4096
25,Unidade da Federação,%,"57,40",Piauí,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2012,,tabela_4359_var_4096
26,Unidade da Federação,%,"59,50",Piauí,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2013,,tabela_4359_var_4096
27,Unidade da Federação,%,"60,20",Piauí,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2014,,tabela_4359_var_4096
28,Unidade da Federação,%,"61,70",Piauí,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2015,,tabela_4359_var_4096
29,Unidade da Federação,%,"57,00",Piauí,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2016,,tabela_4359_var_4096
30,Unidade da Federação,%,"57,10",Piauí,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",2017,,tabela_4359_var_4096
